index,Address1,Address2,Address3,City,Condition,CountyName,EmergencyService,HospitalName,HospitalOwner,HospitalType,MeasureCode,MeasureName,PhoneNumber,ProviderNumber,Sample,Score,State,Stateavg,ZipCode
0,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,2053258100,10018,,,AL,AL_SCIP-CARD-2,35233
1,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,2053258100,10018,,,AL,AL_SCIP-INF-1,35233
2,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,2053258100,10018,,,AL,AL_SCIP-INF-2,35233
3,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),2053258100,10018,,,AL,AL_SCIP-INF-3,35233
4,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,2053258100,10018,,,AL,AL_SCIP-INF-4,35233
5,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ´è_C not a razor),2053258100,10018,,,AL,AL_SCIP-INF-6,35233
6,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,2053258100,10018,,,AL,AL_SCIP-VTE-1,35233
7,1720 UNIVERSITY BLVD,,,BIRMINGHAM,Surgical Infection Prevention,JEFFERSON,Yes,CALLAHAN EYE FOUNDATION HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,2053258100,10018,,,AL,AL_SCIP-VTE-2,35233
8,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-1,Heart Attack Patients Given Aspirin at Arrival,2563864556,10019,33 patients,97%,AL,AL_AMI-1,35660
9,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-2,Heart Attack Patients Given Aspirin at Discharge,2563864556,10019,13 patients,92%,AL,AL_AMI-2,35660
10,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2563864556,10019,4 patients,75%,AL,AL_AMI-3,35660
11,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,2563864556,10019,4 patients,100%,AL,AL_AMI-4,35660
12,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,2563864556,10019,14 patients,86%,AL,AL_AMI-5,35660
13,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,2563864556,10019,0 patients,,AL,AL_AMI-7A,35660
14,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Attack,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,2563864556,10019,0 patients,,AL,AL_AMI-8A,35660
15,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Failure,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,HF-1,Heart Failure Patients Given Discharge Instructions,2563864556,10019,114 patients,80%,AL,AL_HF-1,35660
16,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Failure,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,2563864556,10019,149 patients,99%,AL,AL_HF-2,35660
17,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Failure,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2563864556,10019,37 patients,92%,AL,AL_HF-3,35660
18,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,Heart Failure,JEFFERSON,Yes,HELEN KELLER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,2563864556,10019,41 patients,100%,AL,AL_HF-4,35660
19,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-1,Heart Attack Patients Given Aspirin at Arrival,3347938701,10001,270 patients,98%,AL,AL_AMI-1,36302
20,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-2,Heart Attack Patients Given Aspirin at Discharge,3347938701,10001,516 patients,99%,AL,AL_AMI-2,36302
21,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),3347938701,10001,71 patients,96%,AL,AL_AMI-3,36302
22,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,3347938701,10001,244 patients,100%,AL,AL_AMI-4,36302
23,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,3347938701,10001,441 patients,99%,AL,AL_AMI-5,36302
24,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,3347938701,10001,0 patients,,AL,AL_AMI-7A,36302
25,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Attack,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,3347938701,10001,40 patients,72%,AL,AL_AMI-8A,36302
26,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Failure,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,HF-1,Heart Failure Patients Given Discharge Instructions,3347938701,10001,455 patients,78%,AL,AL_HF-1,36302
27,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Failure,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,3347938701,10001,514 patients,99%,AL,AL_HF-2,36302
28,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Failure,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),3347938701,10001,165 patients,91%,AL,AL_HF-3,36302
29,1108 ROSS CLARK CIRCLE,,,DOTHAN,Heart Failure,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,3347938701,10001,110 patients,100%,AL,AL_HF-4,36302
30,1108 ROSS CLARK CIRCLE,,,DOTHAN,Pneumonia,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,3347938701,10001,191 patients,93%,AL,AL_PN-2,36302
31,1108 ROSS CLARK CIRCLE,,,DOTHAN,Pneumonia,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,3347938701,10001,125 patients,89%,AL,AL_PN-3B,36302
32,1108 ROSS CLARK CIRCLE,,,DOTHAN,Pneumonia,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,3347938701,10001,107 patients,99%,AL,AL_PN-4,36302
33,1108 ROSS CLARK CIRCLE,,,DOTHAN,Pneumonia,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,3347938701,10001,196 patients,92%,AL,AL_PN-5C,36302
34,1108 ROSS CLARK CIRCLE,,,DOTHAN,Pneumonia,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),3347938701,10001,147 patients,80%,AL,AL_PN-6,36302
35,1108 ROSS CLARK CIRCLE,,,DOTHAN,Pneumonia,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,3347938701,10001,160 patients,84%,AL,AL_PN-7,36302
36,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,3347938701,10001,79 patients,72%,AL,AL_SCIP-CARD-2,36302
37,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,3347938701,10001,399 patients,94%,AL,AL_SCIP-INF-1,36302
38,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,3347938701,10001,405 patients,98%,AL,AL_SCIP-INF-2,36302
39,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),3347938701,10001,385 patients,88%,AL,AL_SCIP-INF-3,36302
40,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,3347938701,10001,136 patients,96%,AL,AL_SCIP-INF-4,36302
41,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream ´è_C not a razor),3347938701,10001,537 patients,90%,AL,AL_SCIP-INF-6,36302
42,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,3347938701,10001,185 patients,86%,AL,AL_SCIP-VTE-1,36302
43,1108 ROSS CLARK CIRCLE,,,DOTHAN,Surgical Infection Prevention,HOUSTON,Yes,SOUTHEAST ALABAMA MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,3347938701,10001,184 patients,83%,AL,AL_SCIP-VTE-2,36302
44,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-1,Heart Attack Patients Given Aspirin at Arrival,2565938310,10005,20 patients,80%,AL,AL_AMI-1,35957
45,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-2,Heart Attack Patients Given Aspirin at Discharge,2565938310,10005,5 patients,60%,AL,AL_AMI-2,35957
46,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2565938310,10005,2 patients,100%,AL,AL_AMI-3,35957
47,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,2565938310,10005,0 patients,,AL,AL_AMI-4,35957
48,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,2565938310,10005,5 patients,100%,AL,AL_AMI-5,35957
49,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,2565938310,10005,0 patients,,AL,AL_AMI-7A,35957
50,2505 U S HIGHWAY 431 NORTH,,,BOAZ,Heart Attack,MARSHALL,Yes,MARSHALL MEDICAL CENTER SOUTH,Government - Hospital District or Authority,Acute Care Hospitals,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,2565938310,10005,0 patients,,AL,AL_AMI-8A,35957
