attribute,value,fixed,tupleid
provider number,10018,t,1
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,1
address1,1720 UNIVERSITY BLVD,t,1
address2,,t,1
address3,,t,1
city,BIRMINGHAM,f,1
state,AL,t,1
zip code,35233,f,1
county name,JEFFERSON,t,1
phone number,2053258100,f,1
hospital type,Acute Care Hospitals,t,1
hospital owner,Voluntary non-profit - Private,t,1
emergency service,Yes,t,1
condition,Surgical Infection Prevention,f,1
measure code,SCIP-CARD-2,f,1
measure name,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax&#54; who were kept on the beta bxockers during the period just before and after their surgery,f,1
score,,t,1
sample,,t,1
stateavg,AL_SCIP-CARD-2,t,1
provider number,10018,t,2
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,2
address1,1720 UNIVERSITY BLVD,t,2
address2,,t,2
address3,,t,2
city,BIRMINGHAM,f,2
state,AL,t,2
zip code,35233,f,2
county name,JEFFERSON,t,2
phone number,2053258100,f,2
hospital type,Acute Care Hospitals,t,2
hospital owner,Voluntary non-profit - Private,t,2
emergency service,Yes,t,2
condition,Surgical Infection Prevention,t,2
measure code,SCIP-INF-1,t,2
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,2
score,,t,2
sample,,t,2
stateavg,AL_SCIP-INF-1,t,2
provider number,10018,t,3
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,3
address1,1720 UNIVERSITY BLVD,t,3
address2,,t,3
address3,,t,3
city,BIRMINGHAM,f,3
state,AL,f,3
zip code,35233,f,3
county name,JEFFERSON,t,3
phone number,2053258100,f,3
hospital type,Acute Care Hospitals,t,3
hospital owner,Voluntary non-profit - Private,t,3
emergency service,Yes,t,3
condition,Surgical Infection Prevention,f,3
measure code,SCIP-INF-2,f,3
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,3
score,,t,3
sample,,t,3
stateavg,AL_SCIP-INF-2,f,3
provider number,10018,t,4
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,4
address1,1720 UNIVERSITY BLVD,t,4
address2,,t,4
address3,,t,4
city,BIRMINGHxM,f,4
state,AL,t,4
zip code,35233,f,4
county name,JEFFERSON,t,4
phone number,2053258100,f,4
hospital type,Acute Care Hospitals,t,4
hospital owner,Voluntary non-profit - Private,t,4
emergency service,Yes,t,4
condition,Surgical Infection Prevention,f,4
measure code,SCIP-INF-3,f,4
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,4
score,,t,4
sample,,t,4
stateavg,AL_SCIP-INF-3,t,4
provider number,10018,t,5
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,5
address1,1720 UNIVERSITY BLVD,t,5
address2,,t,5
address3,,t,5
city,BIRMINGHAM,f,5
state,AL,t,5
zip code,35233,f,5
county name,JEFFERSON,t,5
phone number,2053258100,f,5
hospital type,Acute Care Hospitals,t,5
hospital owner,Voluntary non-profit - Private,t,5
emergency service,Yes,t,5
condition,Surgical Infection Prevention,f,5
measure code,SCIP-INF-4,f,5
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,5
score,,t,5
sample,,t,5
stateavg,AL_SCIP-INF-4,t,5
provider number,10018,t,6
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,6
address1,1720 UNIVERSITY BLVD,t,6
address2,,t,6
address3,,t,6
city,BIRMINGHAM,f,6
state,AL,t,6
zip code,35233,f,6
county name,JEFFERSON,t,6
phone number,2053258100,f,6
hospital type,Acute Care Hospitals,t,6
hospital owner,Voluntary non-profit - Private,t,6
emergency service,Yes,t,6
condition,Surgical Infection Prevention,t,6
measure code,SCIP-INF-6,f,6
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,6
score,,t,6
sample,,t,6
stateavg,AL_SCIP-INF-6,t,6
provider number,10018,t,7
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,7
address1,1720 UNIVERSITY BLVD,t,7
address2,,t,7
address3,,t,7
city,BIRMINGHAM,f,7
state,AL,f,7
zip code,35233,f,7
county name,JEFFERSON,t,7
phone number,2053258100,f,7
hospital type,Acute Care Hospitals,t,7
hospital owner,Voluntary non-profit - Private,t,7
emergency service,Yes,t,7
condition,Surgical Infection Prevention,t,7
measure code,SCIP-VTE-1,f,7
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,7
score,,t,7
sample,,t,7
stateavg,AL_SCIP-VTE-1,f,7
provider number,10018,t,8
hospital name,CALLAHAN EYE FOUNDATION HOSPITAL,t,8
address1,1720 UNIVERSITY BLVD,t,8
address2,,t,8
address3,,t,8
city,BIRMINGxAM,f,8
state,AL,f,8
zip code,35233,f,8
county name,JEFFERSON,t,8
phone number,2053258100,f,8
hospital type,Acute Care Hospitals,t,8
hospital owner,Voluntary non-profit - Private,t,8
emergency service,Yes,t,8
condition,Surgical Infection Prevention,f,8
measure code,SCIP-VTE-2,f,8
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,8
score,,t,8
sample,,t,8
stateavg,AL_SCIP-VTE-2,f,8
provider number,10019,t,9
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,9
address1,1300 SOUTH MONTGOMERY AVENUE,t,9
address2,,t,9
address3,,t,9
city,SHEFFIELD,f,9
state,AL,f,9
zip code,35660,f,9
county name,JEFFERSON,t,9
phone number,2563864556,f,9
hospital type,Acute Care Hospitals,t,9
hospital owner,Government - Hospital District or Authority,t,9
emergency service,Yes,t,9
condition,Heart Attack,f,9
measure code,AMI-1,f,9
measure name,Heart Attack Patients Given Aspirin at Arrival,f,9
score,97%,t,9
sample,33 patients,t,9
stateavg,AL_AMI-1,f,9
provider number,10019,t,10
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,10
address1,1300 SOUTH MONTGOMERY AVENUE,t,10
address2,,t,10
address3,,t,10
city,SHEFFIELD,f,10
state,AL,f,10
zip code,35660,f,10
county name,JEFFERSON,t,10
phone number,2563864556,f,10
hospital type,Acute Care Hospitals,t,10
hospital owner,Government - Hospital District or Authority,t,10
emergency service,Yes,t,10
condition,Heart Attack,f,10
measure code,AMI-2,f,10
measure name,Heart Attack Patients Given Aspirin at Discharge,f,10
score,92%,t,10
sample,13 patients,t,10
stateavg,AL_AMI-2,f,10
provider number,10019,t,11
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,11
address1,1300 SOUTH MONTGOMERY AVENUE,t,11
address2,,t,11
address3,,t,11
city,SHEFFxELD,f,11
state,AL,t,11
zip code,35660,f,11
county name,JEFFERSON,t,11
phone number,2563864556,f,11
hospital type,Acute Care Hospitals,t,11
hospital owner,Government - Hospital District or Authority,t,11
emergency service,Yes,t,11
condition,Heart Attack,f,11
measure code,AMI-3,f,11
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,11
score,75%,t,11
sample,4 patients,t,11
stateavg,AL_AMI-3,t,11
provider number,10019,t,12
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,12
address1,1300 SOUTH MONTGOMERY AVENUE,t,12
address2,,t,12
address3,,t,12
city,SHEFFIELD,f,12
state,AL,t,12
zip code,35660,f,12
county name,JEFFERSON,t,12
phone number,2563864556,f,12
hospital type,Acute Care Hospitals,t,12
hospital owner,Government - Hospital District or Authority,t,12
emergency service,Yes,t,12
condition,Heart Attack,f,12
measure code,AMI-4,f,12
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,12
score,100%,t,12
sample,4 patients,t,12
stateavg,AL_AMI-4,t,12
provider number,10019,t,13
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,13
address1,1300 SOUTH MONTGOMERY AVENUE,t,13
address2,,t,13
address3,,t,13
city,SHEFFIELD,f,13
state,AL,f,13
zip code,35660,f,13
county name,JEFFERSON,t,13
phone number,2563864556,f,13
hospital type,Acute Care Hospitals,t,13
hospital owner,Government - Hospital District or Authority,t,13
emergency service,Yes,t,13
condition,Heart Attack,f,13
measure code,AMI-5,f,13
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,13
score,86%,t,13
sample,14 patients,t,13
stateavg,AL_AMI-5,f,13
provider number,1xx19,t,14
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,14
address1,1300 SOUTH MONTGOMERY AVENUE,t,14
address2,,t,14
address3,,t,14
city,SHEFFIELD,f,14
state,AL,f,14
zip code,35660,f,14
county name,JEFFERSON,t,14
phone number,2563864556,f,14
hospital type,Acute Care Hospitals,t,14
hospital owner,Government - Hospital District or Authority,t,14
emergency service,Yes,t,14
condition,Heart Attack,f,14
measure code,AMI-7A,f,14
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,14
score,,t,14
sample,0 patients,t,14
stateavg,AL_AMI-7A,f,14
provider number,10019,t,15
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,15
address1,1300 SOUTH MONTGOMERY AVENUE,t,15
address2,,t,15
address3,,t,15
city,SHEFFIELD,f,15
state,AL,f,15
zip code,35660,f,15
county name,JEFFERSON,t,15
phone number,2563864556,f,15
hospital type,Acute Care Hospitals,t,15
hospital owner,Government - Hospital District or Authority,t,15
emergency service,Yes,t,15
condition,Heart Attack,f,15
measure code,AMI-8A,f,15
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,15
score,,t,15
sample,0 patients,t,15
stateavg,AL_AMI-8A,f,15
provider number,10019,t,16
hospital name,HELEN KELLER MEMORIAL HOSPITAL,t,16
address1,1300 SOUTH MONTGOMERY AVENUE,t,16
address2,,t,16
address3,,t,16
city,SHEFFIELD,f,16
state,AL,t,16
zip code,35660,f,16
county name,JEFFERSON,t,16
phone number,2563864556,f,16
hospital type,Acute Care Hospitals,t,16
hospital owner,Government - Hospital District or Authority,t,16
emergency service,Yes,t,16
condition,Heart Failure,f,16
measure code,HF-1,f,16
